Event Name,Date,Location,Type,Region,Website,Latitude,Longitude,ShortForecast
Joshua Bell Plays Elements Concerto,6/20/2024 through 6/22/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/joshua-bell-plays-elements-concerto/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
"Together Again, Again!",5/31/2024 through 6/23/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center,https://visitseattle.org/events/together-again-again/,47.6145597,-122.3285576,Weather forecast not found for specific date
Lip Sync for Our Rights,6/22/2024 through 6/23/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/lip-sync-for-our-rights/,47.62397705,-122.35038850536958,Weather forecast not found for specific date
Company,6/23/2024 through 6/28/2024,The Paramount Theatre,Music,Downtown,https://visitseattle.org/events/company/,40.8697559,-73.42561952873208,Weather forecast not found for specific date
2024 University of Washington MFA + MDes Thesis Exhibition,5/24/2024 through 6/30/2024,Henry Art Gallery,Museums,University District,https://visitseattle.org/events/2024-university-of-washington-mfa-mdes-thesis-exhibition/,47.6565246,-122.31173279895636,Weather forecast not found for specific date
Spring Awakening,6/7/2024 through 6/30/2024,The 5th Avenue Theatre,Theatre,Downtown,https://visitseattle.org/events/spring-awakening/,39.7329068,-75.1300389,Weather forecast not found for specific date
Girl From The North Country,6/25/2024 through 6/30/2024,The Paramount Theatre,Music,Downtown,https://visitseattle.org/events/girl-from-the-north-country/,40.8697559,-73.42561952873208,Weather forecast not found for specific date
Nordic Utopia: African Americans in the 20th Century,3/22/2024 through 7/21/2024,National Nordic Museum,Museums,Fremont / Ballard,https://visitseattle.org/events/nordic-utopia-african-americans-in-the-20th-century/,47.6683615,-122.39177949359151,Weather forecast not found for specific date
Clue,7/9/2024 through 7/21/2024,The 5th Avenue Theatre,Theatre,Downtown,https://visitseattle.org/events/clue/,39.7329068,-75.1300389,Weather forecast not found for specific date
"Be Water, My Friend: The Teachings Of Bruce Lee",Now through 7/28/2024,Wing Luke Museum,Museums,International District,https://visitseattle.org/events/be-water-my-friend-the-teachings-of-bruce-lee/,47.5982461,-122.3228705,Weather forecast not found for specific date
Olivia Rodrigo,8/6/2024 through 8/7/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/olivia-rodrigo/,47.6219014,-122.353990491486,Weather forecast not found for specific date
Hidden Worlds: The Films of LAIKA,Now through 8/31/2024,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/hidden-worlds-the-films-of-laika/,47.621493099999995,-122.34822527405619,Weather forecast not found for specific date
Sound Check! The Music We Make,Now through 9/14/2024,Wing Luke Museum,Museums,International District,https://visitseattle.org/events/sound-check-the-music-we-make/,47.5982461,-122.3228705,Weather forecast not found for specific date
